Attack
Kick
Throw
Unsummon
Left Hand Throw
Left Hand Swing
Magic Arrow
Fire Arrow
Inner Sight
Critical Strike
Jab
Cold Arrow
Multiple Shot
Dodge
Power Strike
Poison Javelin
Exploding Arrow
Slow Missiles
Avoid
Impale
Lightning Bolt
Ice Arrow
Guided Arrow
Penetrate
Charged Strike
Plague Javelin
Strafe
Immolation Arrow
Dopplezon
Evade
Fend
Freezing Arrow
Valkyrie
Pierce
Lightning Strike
Lightning Fury
Fire Bolt
Warmth
Charged Bolt
Ice Bolt
Frozen Armor
Inferno
Static Field
Telekinesis
Frost Nova
Ice Blast
Blaze
Fire Ball
Nova
Lightning
Shiver Armor
Fire Wall
Enchant
Chain Lightning
Teleport
Glacial Spike
Meteor
Thunder Storm
Energy Shield
Blizzard
Chilling Armor
Fire Mastery
Hydra
Lightning Mastery
Frozen Orb
Cold Mastery
Amplify Damage
Teeth
Bone Armor
Skeleton Mastery
Raise Skeleton
Dim Vision
Weaken
Poison Dagger
Corpse Explosion
Clay Golem
Iron Maiden
Terror
Bone Wall
Golem Mastery
Raise Skeletal Mage
Confuse
Life Tap
Poison Explosion
Bone Spear
BloodGolem
Attract
Decrepify
Bone Prison
Summon Resist
IronGolem
Lower Resist
Poison Nova
Bone Spirit
FireGolem
Revive
Sacrifice
Smite
Might
Prayer
